0,1,2,3,4
member,tax,act,war,wheat
time,income,section,country,price
country,income tax,board,time,farmers
members,cent,amendment,defence,cents
matter,taxation,council,air,prices
work,taxes,parliament,world,board
years,budget,legislation,service,grain
question,war,provinces,nations,market
money,revenue,time,army,products
cent,tax act,pension,members,farm
way,money,commission,member,farmer
order,country,order,policy,production
trade,time,court,veterans,cent
statement,act,power,force,agriculture
day,war tax,member,effort,bushels
service,sales tax,law,forces,crop
fact,finance,matter,years,wheat board
industry,income war,age,war effort,time
information,sales,dominion,services,country
number,pay,members,peace,bushel
